station,lon,lat,srid,Longitude,Latitude,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,24-09,24-10,24-11,24-12
Mitcham,-0.172743776,51.39719389643946,4326,-0.172743776,51.39719389643946,7.0,3.0,3.0,6.0,11.0,22.0,25.0,13.0,5.0,8.0,11.0,5.0
Leytonstone,0.008695084830752,51.56062233387371,4326,0.0086950848307522,51.56062233387371,6.0,6.0,5.0,8.0,8.0,11.0,13.0,15.0,10.0,5.0,12.0,4.0
Stratford,0.011170809936671,51.54373622786176,4326,0.0111708099366713,51.54373622786176,10.0,23.0,13.0,6.0,15.0,17.0,15.0,18.0,14.0,10.0,16.0,12.0
West Norwood,-0.105540715,51.42598872943221,4326,-0.105540715,51.42598872943222,8.0,4.0,6.0,13.0,7.0,11.0,6.0,10.0,8.0,7.0,7.0,3.0
Hainault,0.104398620749399,51.60617822287404,4326,0.1043986207493989,51.60617822287404,7.0,6.0,4.0,6.0,3.0,3.0,4.0,12.0,13.0,2.0,5.0,1.0
Woodford,0.024005333507144,51.60955591646346,4326,0.0240053335071444,51.60955591646346,0.0,5.0,0.0,7.0,6.0,3.0,4.0,7.0,4.0,3.0,2.0,3.0
Orpington,0.110662806185832,51.37239221440974,4326,0.1106628061858317,51.37239221440974,5.0,6.0,4.0,9.0,20.0,14.0,23.0,20.0,14.0,4.0,10.0,11.0
Kensington,-0.190085247,51.50290351225268,4326,-0.190085247,51.50290351225268,5.0,5.0,7.0,8.0,10.0,10.0,8.0,3.0,1.0,0.0,2.0,5.0
New Malden,-0.24533721,51.39901677807658,4326,-0.24533721,51.39901677807658,10.0,6.0,5.0,2.0,2.0,6.0,9.0,2.0,4.0,5.0,3.0,2.0
Homerton,-0.043939005,51.54865444023918,4326,-0.043939005,51.54865444023918,7.0,6.0,6.0,1.0,7.0,9.0,14.0,14.0,3.0,7.0,10.0,10.0
Dockhead,-0.070832719,51.50078679340314,4326,-0.070832719,51.50078679340314,5.0,3.0,4.0,10.0,3.0,6.0,5.0,10.0,8.0,6.0,5.0,4.0
Tottenham,-0.071815315,51.59236840858054,4326,-0.071815315,51.59236840858055,24.0,22.0,17.0,29.0,18.0,38.0,32.0,32.0,27.0,23.0,22.0,21.0
Harrow,-0.366347609,51.5908010380406,4326,-0.366347609,51.5908010380406,5.0,7.0,4.0,5.0,12.0,14.0,13.0,7.0,6.0,8.0,7.0,5.0
Heston,-0.343197831,51.47500756540316,4326,-0.343197831,51.47500756540316,13.0,5.0,5.0,15.0,13.0,14.0,17.0,17.0,13.0,10.0,14.0,7.0
Greenwich,-0.013695768,51.4739515351756,4326,-0.013695768,51.4739515351756,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,2.0,2.0,4.0
Kentish Town,-0.141651589,51.55284414272218,4326,-0.141651589,51.55284414272217,17.0,4.0,9.0,17.0,11.0,10.0,13.0,10.0,7.0,11.0,7.0,7.0
Ilford,0.090084361336103,51.562108745570775,4326,0.090084361336103,51.562108745570775,15.0,10.0,12.0,16.0,16.0,35.0,24.0,28.0,26.0,25.0,25.0,14.0
Paddington,-0.183054967,51.520203680264906,4326,-0.183054967,51.520203680264906,17.0,9.0,13.0,12.0,12.0,13.0,22.0,16.0,7.0,16.0,15.0,16.0
Bethnal Green,-0.05355033,51.52784033205921,4326,-0.05355033,51.52784033205921,9.0,9.0,8.0,9.0,16.0,20.0,13.0,18.0,11.0,9.0,6.0,3.0
East Greenwich,0.022144381150439,51.48700470567812,4326,0.0221443811504388,51.48700470567812,6.0,8.0,5.0,8.0,14.0,13.0,8.0,10.0,3.0,5.0,5.0,4.0
Bromley,0.0168814763935722,51.4070793341232,4326,0.0168814763935722,51.4070793341232,7.0,1.0,4.0,13.0,9.0,13.0,13.0,14.0,11.0,5.0,9.0,14.0
Dagenham,0.1574298084228795,51.559294364761584,4326,0.1574298084228795,51.559294364761584,16.0,14.0,8.0,22.0,23.0,22.0,30.0,40.0,26.0,14.0,30.0,17.0
Enfield,-0.051730211,51.66023041294178,4326,-0.051730211,51.66023041294178,16.0,4.0,8.0,9.0,11.0,17.0,15.0,22.0,18.0,18.0,17.0,8.0
Forest Hill,-0.044955345,51.442719666037895,4326,-0.044955345,51.442719666037895,3.0,1.0,6.0,6.0,6.0,9.0,8.0,10.0,2.0,7.0,6.0,0.0
Purley,-0.124319171,51.33184122744441,4326,-0.124319171,51.33184122744441,2.0,3.0,5.0,7.0,4.0,7.0,4.0,1.0,5.0,1.0,2.0,6.0
Wennington,0.220954339108453,51.5064552081666,4326,0.220954339108453,51.5064552081666,1.0,4.0,6.0,5.0,3.0,7.0,13.0,17.0,13.0,6.0,6.0,4.0
