station,geometry,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,24-09,24-10,24-11,24-12
Ealing,POINT (-0.313907 51.512086),344.44444444444446,301.25,339.6666666666667,279.6,333.9166666666667,314.2307692307692,188.6,260.14285714285717,223.33333333333334,254.88888888888889,242.9090909090909,313.5
Chelsea,POINT (-0.170282 51.487152),378.6666666666667,231.0,284.0,289.14285714285717,358.44444444444446,376.57142857142856,297.53846153846155,274.75,414.75,336.42857142857144,250.33333333333334,321.4
Stoke Newington,POINT (-0.076886 51.562455),268.3333333333333,332.44444444444446,290.0,295.375,349.8333333333333,255.5,306.42857142857144,351.25,342.5,316.85,369.72727272727275,333.5
Biggin Hill,POINT (0.034088 51.313601),290.6666666666667,296.3333333333333,0.0,0.0,241.0,245.0,144.0,563.0,140.0,325.5,689.0,463.0
Euston,POINT (-0.130762 51.527687),290.5,265.8,372.1818181818182,348.64285714285717,316.7647058823529,327.8421052631579,395.375,361.6666666666667,330.45454545454544,358.92857142857144,287.2307692307692,304.0
Shoreditch,POINT (-0.085533 51.526636),268.42857142857144,218.75,405.8,209.125,272.8,271.46153846153845,300.38461538461536,274.0625,302.7692307692308,230.75,283.4,283.57142857142856
Croydon,POINT (-0.105522 51.369132),380.1333333333333,318.45454545454544,313.9230769230769,269.4166666666667,235.33333333333334,331.3333333333333,350.6470588235294,353.375,313.27272727272725,293.6666666666667,324.42105263157896,337.75
Northolt,POINT (-0.419101 51.555869),406.75,409.6666666666667,400.3333333333333,398.6,378.6666666666667,335.1875,360.4,400.1666666666667,391.84615384615387,472.54545454545456,454.35714285714283,289.44444444444446
Walthamstow,POINT (-0.028748 51.589766),288.3,292.0,292.42857142857144,346.54545454545456,323.75,331.6470588235294,331.4642857142857,350.4761904761905,348.875,437.0,362.54545454545456,342.25
Shadwell,POINT (-0.055837 51.510945),263.5,305.625,282.0,284.0,356.8333333333333,299.2,398.0,286.1,297.3333333333333,273.0,300.2,458.0
Whitechapel,POINT (-0.069276 51.515252),338.4,317.3333333333333,298.625,240.71428571428572,188.4,347.4,232.71428571428572,331.125,170.0,360.6666666666667,265.5,309.2
Hammersmith,POINT (-0.224291 51.496127),263.75,296.14285714285717,268.7142857142857,321.9,311.6,276.0,229.0,291.14285714285717,383.0,339.14285714285717,294.25,272.77777777777777
Barking,POINT (0.089001 51.529964),315.7692307692308,314.6363636363636,316.85714285714283,319.14285714285717,379.0833333333333,413.7647058823529,343.5625,436.68,464.5,305.3333333333333,375.61538461538464,324.8
Hornchurch,POINT (0.220582 51.564595),398.0,336.0,304.0,414.6666666666667,351.6,450.61538461538464,392.6666666666667,412.15,435.5625,268.0,591.0,384.0
Eltham,POINT (0.059425 51.450686),337.3333333333333,295.1666666666667,407.5,204.5,286.8,379.1666666666667,352.0,356.14285714285717,256.85714285714283,236.125,306.42857142857144,337.0
Leyton,POINT (-0.016741 51.563132),415.0,274.7142857142857,210.66666666666666,236.57142857142858,253.44444444444446,290.0,324.73333333333335,280.2142857142857,247.11111111111111,295.7142857142857,274.44444444444446,199.83333333333334
Millwall,POINT (-0.025571 51.500809),223.33333333333334,275.6666666666667,0.0,273.0,325.25,450.1666666666667,316.6666666666667,329.5,352.2857142857143,380.0,267.5,127.66666666666667
Kingston,POINT (-0.306487 51.429402),428.5,284.0,386.6666666666667,274.0,484.0,391.8333333333333,278.4,507.6666666666667,294.0,335.42857142857144,526.3333333333334,267.3333333333333
Bexley,POINT (0.153649 51.461114),480.2,362.14285714285717,349.4,431.0,350.8,410.25,318.6111111111111,363.7894736842105,360.6,359.25,498.2,350.0
